new_id,task_id
4,0
5,0
6,0
7,0
8,0
9,0
10,0
14,0
15,0
18,0
19,0
20,0
22,0
23,0
28,0
30,0
31,0
34,0
35,0
36,0
37,0
43,0
44,0
45,0
46,0
47,0
51,0
52,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
64,0
65,0
74,0
76,0
77,0
78,0
86,0
87,0
93,0
97,0
98,0
100,0
106,0
107,0
113,0
124,0
125,0
126,0
127,0
129,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
146,0
149,0
150,0
157,0
160,0
162,0
165,0
166,0
170,0
172,0
178,0
180,0
182,0
187,0
188,0
190,0
191,0
192,0
193,0
196,0
197,0
199,0
205,0
207,0
209,0
212,0
213,0
214,0
215,0
221,0
223,0
224,0
236,0
237,0
239,0
244,0
245,0
246,0
253,0
258,0
262,0
268,0
270,0
272,0
275,0
276,0
277,0
278,0
279,0
280,0
282,0
283,0
285,0
286,0
287,0
289,0
292,0
293,0
296,0
297,0
299,0
303,0
305,0
306,0
308,0
310,0
311,0
312,0
313,0
315,0
316,0
317,0
318,0
325,0
326,0
327,0
329,0
330,0
332,0
337,0
339,0
340,0
344,0
345,0
346,0
347,0
348,0
356,0
357,0
365,0
366,0
370,0
371,0
375,0
378,0
382,0
387,0
392,0
403,0
409,0
416,0
417,0
421,0
423,0
427,0
429,0
454,0
457,0
458,0
459,0
460,0
461,0
462,0
464,0
467,0
468,0
469,0
471,0
475,0
481,0
483,0
492,0
496,0
499,0
503,0
504,0
506,0
507,0
508,0
509,0
510,0
512,0
515,0
517,0
518,0
521,0
522,0
523,0
526,0
527,0
528,0
529,0
531,0
534,0
536,0
537,0
543,0
544,0
549,0
553,0
555,0
557,0
558,0
559,0
561,0
569,0
581,0
582,0
584,0
587,0
591,0
594,0
598,0
606,0
612,0
614,0
617,0
618,0
619,0
620,0
626,0
627,0
628,0
631,0
632,0
633,0
638,0
639,0
640,0
641,0
642,0
643,0
647,0
649,0
650,0
651,0
652,0
655,0
658,0
660,0
662,0
664,0
676,0
678,0
686,0
690,0
692,0
693,0
695,0
696,0
697,0
698,0
699,0
703,0
704,0
707,0
708,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
720,0
723,0
724,0
726,0
727,0
729,0
730,0
731,0
733,0
735,0
736,0
737,0
740,0
741,0
742,0
744,0
750,0
753,0
762,0
772,0
775,0
776,0
778,0
782,0
784,0
787,0
789,0
794,0
799,0
803,0
806,0
807,0
808,0
809,0
815,0
817,0
822,0
832,0
837,0
840,0
842,0
846,0
847,0
851,0
852,0
855,0
856,0
863,0
865,0
867,0
868,0
874,0
875,0
880,0
882,0
883,0
887,0
888,0
891,0
896,0
898,0
899,0
900,0
903,0
904,0
905,0
906,0
909,0
910,0
911,0
914,0
915,0
917,0
920,0
921,0
923,0
924,0
927,0
928,0
933,0
934,0
935,0
936,0
937,0
939,0
941,0
942,0
944,0
949,0
950,0
953,0
955,0
956,0
958,0
960,0
961,0
962,0
963,0
964,0
967,0
972,0
974,0
979,0
980,0
981,0
985,0
990,0
994,0
1004,0
1005,0
1006,0
1008,0
1009,0
1010,0
1012,0
1015,0
1017,0
1018,0
1021,0
1025,0
1026,0
1039,0
1044,0
1045,0
1050,0
1053,0
1055,0
1058,0
1061,0
1062,0
1063,0
1068,0
1069,0
1074,0
1075,0
1082,0
1085,0
1086,0
1097,0
1099,0
1100,0
1101,0
1103,0
1104,0
1106,0
1107,0
1108,0
1109,0
1111,0
1112,0
1113,0
1115,0
1117,0
1119,0
1121,0
1122,0
1123,0
1126,0
1127,0
1129,0
1132,0
1134,0
1135,0
1136,0
1137,0
1138,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1153,0
1156,0
1158,0
1160,0
1161,0
1163,0
1165,0
1168,0
1169,0
1170,0
1171,0
